ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_publicado;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
INCIDENTE;LONDRINA;PR;BRASIL;SBLO;22/03/2024;14:35:00;SIM;FINALIZADA;NÃO;1;NÃO;PRMHJ;AVIÃO;AIRBUS;A320-214;JATO;2;BIMOTOR;184;2007;BRASIL;GOVERNADOR JOSÉ RICHA;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
INCIDENTE;CALDAS NOVAS;GO;BRASIL;SBCN;21/03/2024;16:13:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSLU;AVIÃO;BOEING;737-4Y0;JATO;2;BIMOTOR;5;1992;BRASIL;TANCREDO NEVES;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;***;NENHUM;0
INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;20/03/2024;13:25:00;SIM;FINALIZADA;NÃO;1;NÃO;PRPDW;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;TURBOÉLICE;2;BIMOTOR;77;2007;BRASIL;CONGONHAS;LEITE LOPES;DECOLAGEM;REGULAR;NENHUM;0
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;21/03/2024;13:25:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDU;AVIÃO;BOEING;737-4B6;JATO;2;BIMOTOR;0;0;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;GOVERNADOR ANDRÉ FRANCO MONTORO;SUBIDA;***;NENHUM;0
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;20/03/2024;17:50:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDF;AVIÃO;BOEING COMPANY;737-3H6;JATO;2;BIMOTOR;8;0;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;GUARARAPES - GILBERTO FREYRE;SUBIDA;***;NENHUM;0
INCIDENTE;MARABÁ;PA;BRASIL;SBMA;16/03/2024;22:30:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYSF;AVIÃO;AIRBUS S.A.S.;A320-251N;JATO;2;BIMOTOR;183;2019;BRASIL;JOÃO CORREA DA ROCHA;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
INCIDENTE;JOINVILLE;SC;BRASIL;SBJV;19/03/2024;16:50:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDL;AVIÃO;BOEING;737-3S3;JATO;2;BIMOTOR;6;1988;BRASIL;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTACIONAMENTO;***;NENHUM;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;21/03/2024;22:41:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDV;AVIÃO;BOEING;737-4Q8;JATO;2;BIMOTOR;NULL;NULL;BRASIL;SANTA GENOVEVA/GOIÂNIA;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;***;NENHUM;0
INCIDENTE;CONFINS;MG;BRASIL;SBCF;19/03/2024;02:35:00;SIM;FINALIZADA;NÃO;1;NÃO;PPWSA;AVIÃO;BOEING COMPANY;737-4Q8;JATO;2;BIMOTOR;5;1994;BRASIL;SANTA GENOVEVA/GOIÂNIA;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;***;NENHUM;0
INCIDENTE;CONFINS;MG;BRASIL;SBCF;14/03/2024;11:42:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDQ;AVIÃO;BOEING;737-3M8;JATO;2;BIMOTOR;157;1989;BRASIL;TANCREDO NEVES;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;***;NENHUM;0
INCIDENTE;MACEIÓ;AL;BRASIL;SBMO;15/03/2024;18:17:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDU;AVIÃO;BOEING;737-4B6;JATO;2;BIMOTOR;0;0;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;PRESIDENTE JUSCELINO KUBITSCHEK;ESTACIONAMENTO;***;NENHUM;0
INCIDENTE;SALVADOR;BA;BRASIL;SBSV;19/03/2024;21:13:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDF;AVIÃO;BOEING COMPANY;737-3H6;JATO;2;BIMOTOR;8;0;BRASIL;TANCREDO NEVES;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;***;NENHUM;0
INCIDENTE;LONDRINA;PR;BRASIL;SBLO;20/03/2024;13:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDV;AVIÃO;BOEING;737-4Q8;JATO;2;BIMOTOR;NULL;NULL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTA GENOVEVA/GOIÂNIA;CRUZEIRO;***;NENHUM;0
